date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2024-08-09 11:14:00,60231.34,60296.56,60231.34,60282.85,0.09849,49.26771043934933,21.845624972287624,75.73093157204714,-53.88530659975952,4.985797881485119,2.433902251745305,0
2024-08-09 11:15:00,60334.66,60398.52,60334.66,60373.07,0.13135,53.67719558350941,20.23774892498477,64.63229504263467,-44.394546117649895,15.179311452543299,7.107687923634605,0
2024-08-09 11:16:00,60454.38,60460.06,60423.56,60432.68,0.02452,56.37517189590884,23.502601036925626,56.40635624149286,-32.90375520456723,28.559204637735615,16.24143799058801,0
2024-08-09 11:17:00,60466.05,60466.05,60419.17,60420.52,0.10477,55.66296081177115,24.82266920398979,50.08961883399225,-25.266949630002458,36.11216028093984,26.616892123739586,0
2024-08-09 11:18:00,60419.11,60446.13,60416.89,60418.24,0.11392,55.52132709799689,25.39215088241326,45.150125243676456,-19.757974361263194,41.039736679783715,35.237033866153055,0
2024-08-09 11:19:00,60382.43,60382.43,60371.67,60375.99,0.01194,52.838296081779454,22.178586375397572,40.55581747002068,-18.377231094623106,40.647698628855736,39.266531863193094,Close Trade
2024-08-09 11:20:00,60381.41,60400.93,60299.25,60299.25,0.01328,48.275103158171966,13.286379580720677,35.10192989216068,-21.815550311440006,33.49094687853045,38.39279406238997,0
2024-08-09 11:21:00,60310.84,60330.93,60244.76,60244.76,0.01152,45.28456128770683,1.8213585355406394,28.445815620836676,-26.624457085296036,18.767273697394728,30.96863973492697,0
2024-08-09 11:22:00,60259.72,60346.61,60259.72,60333.06,0.02303,50.62261946659256,-0.13808938914735336,22.729034618839872,-22.867124007987226,18.547124430924107,23.60178166894976,0
2024-08-09 11:23:00,60381.31,60445.87,60381.31,60388.98,0.0634,53.70308671810259,2.789158981984656,18.74105949146883,-15.951900509484176,38.636406388831396,25.316934839050077,Open Trade
2024-08-09 11:24:00,60397.1,60450.78,60386.58,60450.78,0.67025,56.90302315355895,9.980716435355134,16.988990880246092,-7.008274444890958,71.5723229333984,42.91861791771797,0
2024-08-09 11:25:00,60475.24,60477.57,60464.54,60471.7,0.00337,57.96224449698112,17.17021909613686,17.025236523424248,0.14498257271261394,92.137950398938,67.44889324038927,0
2024-08-09 11:26:00,60395.1,60401.39,60395.1,60400.29,0.21832,53.159364521622834,16.91082409707451,17.0023540381543,-0.0915299410797914,87.60494318695969,83.77173883976536,Close Trade
2024-08-09 11:27:00,60431.85,60444.57,60427.12,60427.12,0.01339,54.67887447409281,18.65516335311986,17.332915901147413,1.3222474519724479,78.97200405896933,86.23829921495569,Open Trade
2024-08-09 11:28:00,60424.51,60424.51,60362.65,60362.65,0.007,50.44425703793847,14.666310481312394,16.79959481718041,-2.133284335868016,59.205018417242336,75.26065522105712,Close Trade
2024-08-09 11:29:00,60381.2,60381.2,60331.03,60354.08,0.1052,49.89112886314664,10.6903566873807,15.577747191220467,-4.887390503839768,50.37875400357223,62.8519254932613,0
2024-08-09 11:30:00,60339.99,60369.9,60307.86,60308.96,0.09326,46.97090635729749,3.8541495076642605,13.233027654509227,-9.378878146844967,30.112253703904972,46.56534204157318,0
2024-08-09 11:31:00,60342.25,60391.94,60342.25,60390.84,0.00398,52.41421857026166,4.985962691556779,11.58361466191874,-6.5976519703619605,35.29185815740132,38.59428862162617,Open Trade
2024-08-09 11:32:00,60380.29,60412.78,60380.29,60408.75,0.00656,53.53766535161443,7.24460877362435,10.715813484259861,-3.4712047106355115,44.87966803368373,36.761259964996675,0
2024-08-09 11:33:00,60386.52,60410.29,60386.52,60410.29,0.06671,53.639018615275205,9.054492641065735,10.383549315621037,-1.3290566745553019,62.412083454559394,47.527869881881486,0
